"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"202 Avenida La Cuesta,
San Clemente, CA 92672
6 beds | 9 baths | 8,500 sqft
<ed><U+00A0><U+00BD><ed><U+00B2><U+00BB> https://t.co/th3oSM4F4H
<ed><U+00A0><U+00BD><ed><U+00B3><U+00B1> (760) 560-8… https://t.co/ih2AhRUeaL",FALSE,0,NA,2017-08-31 01:55:05,TRUE,NA,"903073627263860736",NA,"<a href=""https://statusbrew.com"" rel=""nofollow"">Statusbrew</a>","PCSCriss",0,FALSE,FALSE,NA,NA,"California, USA","en","http://pbs.twimg.com/profile_images/887411369347137536/FO7euBr1_normal.jpg"
"Winning Tips for Buyers and Sellers in Sellers' Markets https://t.co/Ttj3cyXqdQ #realestate #Tips",FALSE,0,NA,2017-08-31 01:55:03,FALSE,NA,"903073618896318466",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ROttoRealtor",0,FALSE,FALSE,NA,NA,"Bellingham & Orcas Island WA.","en","http://pbs.twimg.com/profile_images/812724588253589504/nQv0U8uN_normal.jpg"
"See what I found on @Zillow! https://t.co/kst9Aem6vs https://t.co/VzxrDNJVSc",FALSE,0,NA,2017-08-31 01:54:27,FALSE,NA,"903073467553243137",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bdiewald",0,FALSE,FALSE,NA,NA,"Red Bud","en","http://pbs.twimg.com/profile_images/217360797/sarah_and_i_normal.jpg"
"RT @financialbuzz: Lifshitz &amp; Miller LLP Announces Investigation of Ellie Mae, Inc., First Bitcoin Capital Corp., GlobalSCAPE, Inc... https…",FALSE,0,NA,2017-08-31 01:49:42,FALSE,NA,"903072270268207104",NA,"<a href=""http://leadershiphealth.wordpress.com"" rel=""nofollow"">MedTech Tribune</a>","MedtechTribune",1,TRUE,FALSE,NA,NA,"","fr","http://pbs.twimg.com/profile_images/896866749248937984/ehNopacm_normal.jpg"
"Lifshitz &amp; Miller LLP Announces Investigation of Ellie Mae, Inc., First Bitcoin Capital Corp., GlobalSCAPE, Inc... https://t.co/MpqcIf6vLM",FALSE,0,NA,2017-08-31 01:48:04,FALSE,NA,"903071862363529216",NA,"<a href=""http://financialbuzz.com"" rel=""nofollow"">Financialbuzz Feed</a>","financialbuzz",1,FALSE,FALSE,NA,NA,"New York, New York","en","http://pbs.twimg.com/profile_images/378800000321330152/a87198df89f47943c7a175eb85127caa_normal.jpeg"
"RT @ChrisHounchell: Short Sale Alert! This home has all the basics to take it from now to WOW. All it needs is an owner with vision. https:…",FALSE,0,NA,2017-08-31 01:41:55,FALSE,NA,"903070311960236033",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MichelOrtega01",1,TRUE,FALSE,NA,NA,"Tampa, FL","en","http://pbs.twimg.com/profile_images/875534292058812416/TIdRwCiv_normal.jpg"
"437 N Glover St, Baltimore, MD 21224 | MLS #BA10025669 | Zillow https://t.co/gGRZoKHXCW",FALSE,0,NA,2017-08-31 01:41:16,FALSE,NA,"903070151263866880",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","JunePiperBrand",0,FALSE,FALSE,NA,NA,"Baltimore, MD","en","http://pbs.twimg.com/profile_images/665012956581765120/kXzn1CG8_normal.jpg"
"Even low-valued homes aren't affordable for low-income households. This isn't sustainable. https://t.co/GlddUqnkvU #housing4all",FALSE,0,NA,2017-08-31 01:34:43,FALSE,NA,"903068501685833728",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ThriveLA_Org",0,FALSE,FALSE,NA,NA,"Los Angeles, CA","en","http://pbs.twimg.com/profile_images/588763544625152000/3aHGgPYb_normal.png"
"How to Find Your Dream Home

https://t.co/lTMbWWom0T",FALSE,0,NA,2017-08-31 01:33:02,FALSE,NA,"903068078459805697",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","BuckeyeRealty",0,FALSE,FALSE,NA,NA,"Columbus, Ohio","en","http://pbs.twimg.com/profile_images/896520333489979394/pe8w7_eM_normal.jpg"
"@P_P_Parulekar You don't understand, there is no Canadian source, like Zillow in the US, that gives everyone access to real estate data.",FALSE,0,"P_P_Parulekar",2017-08-31 01:30:51,FALSE,"903065994293334017","903067526229352452","133018411","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThinkCritical12",0,FALSE,FALSE,NA,NA,"West Centretown, Ottawa","en","http://pbs.twimg.com/profile_images/378800000757554271/00d789eebc0b941affd6cdcfd0501f83_normal.jpeg"
"What's That Sound? 7 Creepy House Noises You Shouldn't Ignore  https://t.co/ZLAoLscF5X https://t.co/K4JnGcEGYP",FALSE,0,NA,2017-08-31 01:24:26,FALSE,NA,"903065912881885185",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bergermiste",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/888454725452136449/XxkQCy9A_normal.jpg"
"#Country Girl #MileyCyrus Buys $5.8M Tennessee #Mansion https://t.co/2zrIYGA2VO https://t.co/sUMyuYbbXA",FALSE,0,NA,2017-08-31 01:23:02,FALSE,NA,"903065561382432768",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","RansfordCannon",0,FALSE,FALSE,NA,NA,"Denver, NC","en","http://pbs.twimg.com/profile_images/821768477681676288/Ll9hQcsF_normal.jpg"
"On my free time I like to go on Zillow and look at houses so I know exactly what I want in a house when I purchase one one day <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,2,NA,2017-08-31 01:20:29,FALSE,NA,"903064917070118912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jvxl_",1,FALSE,FALSE,NA,NA,"Riverside, CA","en","http://pbs.twimg.com/profile_images/843663208560836608/wVSZ62RO_normal.jpg"
"Danville IL Real Estate https://t.co/sPLcgARmAi",FALSE,0,NA,2017-08-31 01:17:21,FALSE,NA,"903064129853943810",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","barbfeller",0,FALSE,FALSE,NA,NA,"Danville","en","http://pbs.twimg.com/profile_images/494491601700257792/RJQH96ZN_normal.png"
"I helped the Knoblochs sell their Auburn home for approx. $525K. Here's why they call me the 'ultimate negotiator.'… https://t.co/f7s7SWVMKq",FALSE,0,NA,2017-08-31 01:15:11,TRUE,NA,"903063587207487488",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","Marti_REALTOR",0,FALSE,FALSE,NA,NA,"Kent, WA","en","http://pbs.twimg.com/profile_images/426581466378563584/j1jJjRfu_normal.jpeg"
"RT @AI_National: A federal lawsuit against Zillow's ""Zestimates"" was recently dismissed. Read more in today's Appraiser News Online. https:…",FALSE,0,NA,2017-08-31 01:12:44,FALSE,NA,"903062967515844608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rvben_",3,TRUE,FALSE,NA,NA,"","es","http://pbs.twimg.com/profile_images/838254606043918337/rFihjhZ6_normal.jpg"
"Here's the thing.., don't people on House Hunters Zillow or Trulia these homes? Like, why is the interior always so shocking?",FALSE,0,NA,2017-08-31 01:11:55,FALSE,NA,"903062762179485697",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","leannejustcant",0,FALSE,FALSE,NA,NA,"New York, USA","en","http://pbs.twimg.com/profile_images/889130792533839873/dcEEHcZ2_normal.jpg"
"5 Retro Decorating Trends That Deserve a Comeback... https://t.co/JitAPlfPgB",FALSE,0,NA,2017-08-31 01:11:31,FALSE,NA,"903062662237622272",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","GaryRossignol",0,FALSE,FALSE,NA,NA,"West Chester, OH, US, 45069","en","http://pbs.twimg.com/profile_images/826827539876368385/nsM-jzoJ_normal.jpg"
"Browse all Zillow homes available in Tallahassee, Florida. - https://t.co/WazlvFDR0O #sponsored",FALSE,0,NA,2017-08-31 01:10:10,FALSE,NA,"903062323006509057",NA,"<a href=""http://socialadr.com"" rel=""nofollow"">SocialAdr</a>","rybykuwurym",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/538585826389536768/T54-D_BH_normal.png"
"Call Jim Naulty for Private showing.
(916)337-4969
jnaulty@newpoint.us
https://t.co/Jdi33iZTyZ",FALSE,0,NA,2017-08-31 01:08:01,FALSE,NA,"903061782935293954",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","NewpointRealty",0,FALSE,FALSE,NA,NA,"Folsom, CA","en","http://pbs.twimg.com/profile_images/811781172749475840/HZuZYZfc_normal.jpg"
"Thanks, zuser20160917183502984, for your excellent review on Zillow @Birdeye_ https://t.co/I44wvfdh2m",FALSE,0,NA,2017-08-31 01:07:20,FALSE,NA,"903061610809368576",NA,"<a href=""https://birdeye.com"" rel=""nofollow"">BirdEye Reviews</a>","MarkHoadley1",0,FALSE,FALSE,NA,NA,"North San Diego, California","en","http://pbs.twimg.com/profile_images/1924745859/mark-right_normal.jpg"
"Zillow's Secret Plan https://t.co/NXj75V5DsS",FALSE,1,NA,2017-08-31 01:05:16,FALSE,NA,"903061091500126210",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","PPMSPROPERTY",0,FALSE,FALSE,NA,NA,"Baltimore, MD","en-gb","http://pbs.twimg.com/profile_images/903042626651398145/ajsWlNzH_normal.jpg"
"@DreSmithJr Moved from the Central AC to the wall unit but if this keep up Ima be on Zillow <ed><U+00A0><U+00BD><ed><U+00B8><U+00A4>",FALSE,0,"DreSmithJr",2017-08-31 01:03:24,FALSE,"903055139837116416","903060620513239040","39133654","<a href=""http://tweetlogix.com"" rel=""nofollow"">Tweetlogix</a>","TMACnCHEESE",0,FALSE,FALSE,NA,NA,"California, USA","en","http://pbs.twimg.com/profile_images/802379454215372800/dfE2ZYnb_normal.jpg"
"@ClarenceMingo Zillow keeps property taxes up to date with the market, but they don't raise my taxes!",FALSE,1,"ClarenceMingo",2017-08-31 01:02:23,FALSE,NA,"903060361997414400","78964452","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chrubo",0,FALSE,FALSE,NA,NA,"Columbus, OH","en","http://pbs.twimg.com/profile_images/517389053897891840/q2xLlNNN_normal.jpeg"
"Zillow says they've improved - now only 6% wrong. https://t.co/tuz8aV9GVV Los Angeles real estate agent https://t.co/v9wRXr5wWk",FALSE,0,NA,2017-08-31 01:00:30,FALSE,NA,"903059890557644800",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","WhitProuty",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/629409456774746112/zdrFSXVb_normal.png"
"FB knows I've been spending too much time on @zillow <ed><U+00A0><U+00BD><ed><U+00B9><U+0088>Loving this little colorful condo though minus the price tag. https://t.co/oqlcTL5Qam",FALSE,0,NA,2017-08-31 00:56:50,FALSE,NA,"903058968288739328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","annaosgoodby",0,FALSE,FALSE,NA,NA,"Seattle, WA","en","http://pbs.twimg.com/profile_images/803834261795209218/R1RD0S9g_normal.jpg"
"NEW PRICING!
San Clemente, CA 92672
6 beds | 9 baths | 8,500 sqft
<ed><U+00A0><U+00BD><ed><U+00B2><U+00BB> https://t.co/th3oSM4F4H
<ed><U+00A0><U+00BD><ed><U+00B3><U+00B1> (760) 560-8371
<ed><U+00A0><U+00BD><ed><U+00B3><U+00AC> shan… https://t.co/Je6k7T7SHi",FALSE,0,NA,2017-08-31 00:56:04,TRUE,NA,"903058774772117504",NA,"<a href=""https://statusbrew.com"" rel=""nofollow"">Statusbrew</a>","PCSCriss",0,FALSE,FALSE,NA,NA,"California, USA","en","http://pbs.twimg.com/profile_images/887411369347137536/FO7euBr1_normal.jpg"
"@befernee Alright, here's one. https://t.co/MlxWaeOlQJ",FALSE,0,"befernee",2017-08-31 00:55:35,FALSE,"903043950855856133","903058652751417345","46594330","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OrangeLion5",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1568732336/defaultBoy_normal.jpg"
"It's perfect for me and Lucky! ... AHAHAHAHAHAHAHAH!  (But it is.  It looks like a villa over Capitoline in Italy... https://t.co/UY3v3oV9tB",FALSE,0,NA,2017-08-31 00:53:26,FALSE,NA,"903058113145831424",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","redcrosse10999",0,FALSE,FALSE,NA,NA,"Milwaukee","en","http://pbs.twimg.com/profile_images/880489748820873216/AgYLK2D0_normal.jpg"
"Only one of a couple of custom buildable lots left - Edinburgh Meadows-Hickory #Zillow https://t.co/2GxKulzt0b",FALSE,0,NA,2017-08-31 00:51:46,FALSE,NA,"903057693472022528",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RountreeDebbie",0,FALSE,FALSE,NA,NA,"Chesapeake, VA","en","http://pbs.twimg.com/profile_images/688823542540931072/shVwSt1I_normal.jpg"
"Are you looking for old world charm with modern day style?? This 3 story, historically certified ( 1920's)... https://t.co/3EMluF3HA8",FALSE,0,NA,2017-08-31 00:50:35,FALSE,NA,"903057395752067073",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","KimiLRealtor",0,FALSE,FALSE,NA,NA,"Pennsylvania, USA","en","http://pbs.twimg.com/profile_images/816793071304265728/p-_wE3sZ_normal.jpg"
"@camalag @japautley Ranch-style house. I like the renovation. And love the blue &amp; yellow paint job.  https://t.co/VeGfTUmMGN",FALSE,0,"CamalaG",2017-08-31 00:48:13,FALSE,NA,"903056800748097537","412759573","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SAGarNYC",0,FALSE,FALSE,NA,NA,"New York, NY","en","http://pbs.twimg.com/profile_images/825441070838378496/iY-87bKp_normal.jpg"
"4 Great reviews in just over a week!  I am so grateful for my clients!!  Check out all of my reviews on Zillow!... https://t.co/U2OniSbTSh",FALSE,1,NA,2017-08-31 00:45:02,FALSE,NA,"903055999489204224",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","AliciaKramer1",0,FALSE,FALSE,NA,NA,"Holland, Michigan","en","http://pbs.twimg.com/profile_images/1346939840/profile_normal.jpg"
"1322 11th St NW, Hickory, NC 28601 | MLS #9595632 | Zillow https://t.co/73hD4Ca3CD",FALSE,0,NA,2017-08-31 00:44:10,FALSE,NA,"903055779124695041",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","tigercrazy25",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/3571187372/a87562888c39991f4d577384873e12df_normal.jpeg"
"I wish zillow had a ""Please never ever EVER show me this again"" button",FALSE,2,NA,2017-08-31 00:42:33,FALSE,NA,"903055373195767808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kehrinstudios",0,FALSE,FALSE,NA,NA,"Virginia, USA","en","http://pbs.twimg.com/profile_images/378800000440144232/950dbc48b3ede403c0c07beb3efb581f_normal.jpeg"
"RT @LasVegasLocally: ""The CA exodus to Nevada, a trend that’s been occurring for some time, has accelerated lately"" https://t.co/LzpA70KKbK…",FALSE,0,NA,2017-08-31 00:38:06,FALSE,NA,"903054253811417088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IsItOctoberYet",3,TRUE,FALSE,NA,NA,"wherever the screams are","en","http://pbs.twimg.com/profile_images/422067266/october3small_normal.jpg"
"RT @gethomesavi: Take advantage of everything the internet has to offer (one #realestate site at a time): https://t.co/iESleImm7p #gethomes…",FALSE,0,NA,2017-08-31 00:36:56,FALSE,NA,"903053959061004288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","raumunz",2,TRUE,FALSE,NA,NA,"Alajuela, Costa Rica","es","http://pbs.twimg.com/profile_images/810607377745645568/yotFN30d_normal.jpg"
"RT @TrickFreee: Oh, and that phone number and accountant seem to be connected to this home for sale.  https://t.co/PpZiDNMiD2",FALSE,0,NA,2017-08-31 00:36:40,FALSE,NA,"903053894091251712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Beverly21811568",5,TRUE,FALSE,NA,NA,"Maryville, Tennessee","en","http://pbs.twimg.com/profile_images/3325765237/b8c290b5da6376505da663da870810f5_normal.jpeg"
"Short Sale Alert! This home has all the basics to take it from now to WOW. All it needs is an owner with vision.… https://t.co/8hz9XEv3Mj",FALSE,0,NA,2017-08-31 00:35:07,TRUE,NA,"903053502561349632",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ChrisHounchell",1,FALSE,FALSE,NA,NA,"St Petersburg, FL. ","en","http://pbs.twimg.com/profile_images/378800000056476955/45e956afca4e51d62b9abf88b10cf9a0_normal.jpeg"
"RT @TrickFreee: Oh, and that phone number and accountant seem to be connected to this home for sale.  https://t.co/PpZiDNMiD2",FALSE,0,NA,2017-08-31 00:30:54,FALSE,NA,"903052441993658368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","default__user",5,TRUE,FALSE,NA,NA,"Los Angeles ","en","http://pbs.twimg.com/profile_images/870293017118203906/8xBWPXo3_normal.jpg"
"Since #millennials can't afford homes in their own markets, they should invest in #realestate remotely.… https://t.co/pW1YB9xYZP",FALSE,0,NA,2017-08-31 00:28:16,TRUE,NA,"903051779474063360",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","HomeUnion",0,FALSE,FALSE,NA,NA,"Irvine, CA, USA","en","http://pbs.twimg.com/profile_images/456879980983488513/aVC53UGJ_normal.png"
"RT @TrickFreee: Oh, and that phone number and accountant seem to be connected to this home for sale.  https://t.co/PpZiDNMiD2",FALSE,0,NA,2017-08-31 00:27:20,FALSE,NA,"903051543024328704",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RoxEK1954",5,TRUE,FALSE,NA,NA,"ARIZONA <ed><U+00A0><U+00BE><ed><U+00B6><U+008E><ed><U+00A0><U+00BC><ed><U+00BC><U+00B5>","en","http://pbs.twimg.com/profile_images/879934350543831041/X8MdIQNA_normal.jpg"
"@jasonnazar just got my tix 
Fireside Chat w/@Zillow Founder @spencerrascoff
Startups Uncensored #55
https://t.co/SYkdOAsskN via @Eventbrite",FALSE,0,"jasonnazar",2017-08-31 00:27:18,FALSE,NA,"903051534958698496","7142392","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","brittneydiana",0,FALSE,FALSE,NA,NA,"Santa Monica, CA","en","http://pbs.twimg.com/profile_images/854099300783079424/xSPeNcLZ_normal.jpg"
"Flooring for Stylish Homes: Hardwood, Terrazzo, Tile, and Concrete https://t.co/pSbcU7isaS #seansellsindy https://t.co/RoNmONuhvG",FALSE,0,NA,2017-08-31 00:27:03,FALSE,NA,"903051471377321985",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","SeanSellsIndy",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/894593203449581569/IrpgosKO_normal.jpg"
"RT @TrickFreee: Oh, and that phone number and accountant seem to be connected to this home for sale.  https://t.co/PpZiDNMiD2",FALSE,0,NA,2017-08-31 00:26:02,FALSE,NA,"903051215084408833",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brickfixer21",5,TRUE,FALSE,NA,NA,"Chicago, IL","en","http://pbs.twimg.com/profile_images/894546915634884609/6_OYzovt_normal.jpg"
